epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,274.742,1.08604,1.1876,1.64197,0.96414,0.92842,0.9621,0.74853,1.05563,0.91528,1.7008,0.00136416,0.00136416,0.00136416
43,282.985,1.03772,1.17325,1.6205,0.96474,0.91126,0.95388,0.72732,1.05707,0.9206,1.68261,0.00136101,0.00136101,0.00136101
44,290.425,1.0286,1.11814,1.61566,0.95027,0.92728,0.94876,0.69417,1.18065,1.02327,1.83142,0.00135778,0.00135778,0.00135778
45,296.755,1.04254,1.14201,1.61926,0.92304,0.92511,0.94979,0.70876,1.10242,1.11076,1.74043,0.00135449,0.00135449,0.00135449
46,303.155,1.04558,1.11298,1.59981,0.94437,0.91426,0.95146,0.70905,1.09596,0.95742,1.73276,0.00135113,0.00135113,0.00135113
47,309.521,1.01679,1.10956,1.59102,0.96531,0.94173,0.96283,0.73083,1.07724,0.88052,1.69839,0.0013477,0.0013477,0.0013477
48,316.177,1.01754,1.08359,1.59547,0.93533,0.92506,0.95466,0.7198,1.09115,0.9924,1.73239,0.0013442,0.0013442,0.0013442
49,322.384,1.03388,1.10344,1.58832,0.94622,0.94822,0.96211,0.74706,1.02169,0.87399,1.6597,0.00134063,0.00134063,0.00134063
50,328.716,1.01219,1.08809,1.59273,0.97995,0.88484,0.93939,0.70747,1.1224,0.92446,1.73186,0.00133699,0.00133699,0.00133699
51,334.992,1.04594,1.13725,1.62649,0.97842,0.91018,0.94962,0.7227,1.10838,0.92574,1.7037,0.00133328,0.00133328,0.00133328
52,341.356,1.04225,1.10843,1.61614,0.9306,0.93668,0.95417,0.73378,1.06984,0.92786,1.72139,0.00132951,0.00132951,0.00132951
53,347.681,1.00897,1.08295,1.61096,0.96134,0.91798,0.95381,0.71079,1.16896,0.95405,1.83256,0.00132567,0.00132567,0.00132567
54,354.055,1.01641,1.09701,1.6021,0.95393,0.9114,0.94997,0.70737,1.13504,1.03725,1.78661,0.00132176,0.00132176,0.00132176
55,360.403,1.03592,1.12052,1.62953,0.95643,0.94443,0.97124,0.73016,1.10843,0.96751,1.76925,0.00131778,0.00131778,0.00131778
56,366.622,1.0294,1.08523,1.59279,0.97067,0.92109,0.95459,0.74209,1.04784,0.81123,1.67126,0.00131374,0.00131374,0.00131374
57,373.019,1.0103,1.07178,1.57214,0.97026,0.93075,0.96437,0.72578,1.08885,0.88392,1.7305,0.00130963,0.00130963,0.00130963
58,379.328,1.00534,1.07427,1.59531,0.9704,0.90697,0.94586,0.71683,1.11948,0.94366,1.72376,0.00130546,0.00130546,0.00130546
59,385.554,0.99431,1.03869,1.57224,0.96207,0.91381,0.94712,0.73378,1.0467,0.88211,1.68096,0.00130122,0.00130122,0.00130122
60,391.754,1.00039,1.04266,1.59163,0.96552,0.92403,0.95326,0.73574,1.04004,0.88244,1.6582,0.00129692,0.00129692,0.00129692
61,397.902,1.00285,1.06921,1.59097,0.94524,0.95721,0.96921,0.73749,1.04481,0.89665,1.66562,0.00129256,0.00129256,0.00129256
62,404.3,0.9898,1.03497,1.5963,0.97384,0.94125,0.96603,0.74424,1.04841,0.83285,1.68003,0.00128813,0.00128813,0.00128813
